id,created_at,username,full_text,retweets,likes,lang,text_clean
1.85106E+18,Tue Oct 29 00:37:14 +0000 2024,PT_Transjakarta,"@MsAnchovy Hai kak. Mohon maaf terkait saldo kakak yang terpotong. Agar kami dapat lakukan pengecekan, mohon untuk dilengkapi data berikut seperti nama dan nomor telephone, nomor kartu, tanggal dan waktu transaksi, nomor gopay dan lokasi kejadian. Mohon dikirim Via DM. Tks ^DN",0,0,in,@MsAnchovy Hai kak. Mohon maaf terkait saldo kakak yang terpotong. Agar kami dapat lakukan pengecekan mohon untuk dilengkapi data berikut seperti nama dan nomor telephone nomor kartu tanggal dan waktu transaksi nomor gopay dan lokasi kejadian. Mohon dikirim Via DM. Tks ^DN
1.85106E+18,Tue Oct 29 00:33:10 +0000 2024,PT_Transjakarta,"@vendy81948917 Hai kak. Mohon maaf sudah menunggu, saat ini bus koridor 9 arah Pinag Ranati berada di Halte Jembatan Tiga. Terima kasih ^DN",0,0,in,@vendy81948917 Hai kak. Mohon maaf sudah menunggu saat ini bus koridor 9 arah Pinag Ranati berada di Halte Jembatan Tiga. Terima kasih ^DN
1.85106E+18,Tue Oct 29 00:31:47 +0000 2024,sunfloawerr,@PT_Transjakarta min kl mau naik tj ke unj kampus b dari lrt cawang gimana?,0,0,in,@PT_Transjakarta min kl mau naik tj ke unj kampus b dari lrt cawang gimana?
1.85106E+18,Tue Oct 29 00:31:24 +0000 2024,decemberprime,@PT_Transjakarta min kalo mau liat jadwal royal trans yg ter update dimana ya? Sama apakah tiap jalur royal trans ada grup wa nya juga seperti S14? Terima kasih,0,0,in,@PT_Transjakarta min kalo mau liat jadwal royal trans yg ter update dimana ya? Sama apakah tiap jalur royal trans ada grup wa nya juga seperti S14? Terima kasih
1.85106E+18,Tue Oct 29 00:28:53 +0000 2024,PT_Transjakarta,"@pilimo__ Hai kak. Mohon maaf atas ketidaknyamanannya. Rute 8D melayani Halte Kejaksaan Agung. Mohon info nomor body bus, waktu kejadian. Agar kami lakukan pengecekan. Terima kasih ^DN",0,0,in,@pilimo__ Hai kak. Mohon maaf atas ketidaknyamanannya. Rute 8D melayani Halte Kejaksaan Agung. Mohon info nomor body bus waktu kejadian. Agar kami lakukan pengecekan. Terima kasih ^DN
1.85106E+18,Tue Oct 29 00:26:01 +0000 2024,hickqeys,@myjoypcy Kak update kak hati dan jamtung gua sakit banget ini di transjakarta desek-desekan pagi-pagi😭😭😭😭😭😭😭😭😭 sedih banget ancrit lah,0,23,in,@myjoypcy Kak update kak hati dan jamtung gua sakit banget ini di transjakarta desek-desekan pagi-pagi😭😭😭😭😭😭😭😭😭 sedih banget ancrit lah
1.85106E+18,Tue Oct 29 00:25:49 +0000 2024,PT_Transjakarta,"@mnvnty Hai Kak, mohon maaf sudah menunggu, terkait laporan kami koordinasikan kembali untuk dilakukan pengecekan dan evaluasi serta percepatan di rute tersebut.  Mohon info lokasi menunggu. Terima kasih ^DPS",0,0,in,@mnvnty Hai Kak mohon maaf sudah menunggu terkait laporan kami koordinasikan kembali untuk dilakukan pengecekan dan evaluasi serta percepatan di rute tersebut.  Mohon info lokasi menunggu. Terima kasih ^DPS
1.85106E+18,Tue Oct 29 00:24:47 +0000 2024,PT_Transjakarta,"@caninepsh Hai kak, mohon maaf sudah menunggu, untuk JAK 93 beroperasi melayani pelanggan ya kak, terkait laporan kami koordinasikan kembali untuk dilakukan pengecekan kembali. Terima kasih ^DPS",0,0,in,@caninepsh Hai kak mohon maaf sudah menunggu untuk JAK 93 beroperasi melayani pelanggan ya kak terkait laporan kami koordinasikan kembali untuk dilakukan pengecekan kembali. Terima kasih ^DPS
1.85106E+18,Tue Oct 29 00:22:53 +0000 2024,uwiaaf,@PT_Transjakarta Rute senayan bank dki - st. palmerah. Arah palmerah sekitar pukul 05:55 pagi. Di dalam bus juga tidak ada informasi data supir armada.,0,0,in,@PT_Transjakarta Rute senayan bank dki - st. palmerah. Arah palmerah sekitar pukul 05:55 pagi. Di dalam bus juga tidak ada informasi data supir armada.
1.85106E+18,Tue Oct 29 00:22:45 +0000 2024,PT_Transjakarta,"@gatsedeysiks Hai kak, Saat ini posisi bus rute D21 mendekati bus stop Selapa Polri. Terima kasih ^DN",0,1,in,@gatsedeysiks Hai kak Saat ini posisi bus rute D21 mendekati bus stop Selapa Polri. Terima kasih ^DN
